
IntCal20	
B_Start SOP2	
Beta-251909	-6055.5	-5920.5	-6069.5	-5892.5	
Beta-251911	-6053	-5916	-6068.5	-5886.5	
Beta-251910	-6024	-5911	-6064.5	-5849	
Z-2826	-5469.5	-5211.5	-5479	-5044	
Z-3868	-5465.5	-5060	-5522	-4905	
Z-3139	-5043	-4788	-5209.5	-4708	
Z-3140	-5037.5	-4784	-5208.5	-4697.5	
Z-3141	-4982	-4718.5	-5204.5	-4553	
Beta-251907	-4887	-4727.5	-4932.5	-4716.5	
Z-3869	-4890	-4687	-4982	-4549.5	
Beta-230029	-4793	-4708	-4844	-4614.5	
Beta-251912	-4793.5	-4620	-4841	-4553	
Beta-251908	-4784	-4614	-4828.5	-4547.5	
Z-3143	-4825.5	-4549.5	-4940.5	-4455	
Z-3870	-4793.5	-4554	-4899.5	-4494.5	
Beta-251913	-4715	-4553.5	-4787	-4535.5	
Z-2753	-4784	-4498	-4934.5	-4360.5	
Beta-230031	-4689	-4552	-4721.5	-4503.5	
Beta-230033	-4675.5	-4547	-4710	-4500	
Z-3867	-4716.5	-4367	-4947	-4251	
Beta-230032	-4544.5	-4452.5	-4654.5	-4369	
Z-2752	-4656	-4364.5	-4794	-4265	
Z-3142	-4542.5	-4250	-4695	-4053	
Z-3866	-4444.5	-3996.5	-4689.5	-3797	
Z-2827	-4333	-4057.5	-4440	-3979.5	
Z-2754	-4329.5	-4049.5	-4485.5	-3819	
Z-2911	-4314.5	-4048.5	-4337	-3980.5	
Beta-230030	-4228.5	-4049	-4307.5	-3990.5	
Z-2909	-4229	-3952	-4322	-3795	
SOP2	
SOP2	
B_End SOP2	
Sequence()	
@B_Start SOP2	-6112	-5985	-6221.5	-5928.5	
@Beta-251909	-6024.5	-5914	-6062.5	-5888	
@Beta-251911	-6021	-5912	-6061	-5849.5	
@Beta-251910	-6017	-5909	-6057.5	-5845.5	
@Z-2826	-5461.5	-5158.5	-5589.5	-4977.5	
@Z-3868	-5427	-5054	-5587.5	-4855.5	
@Z-3139	-5089.5	-4754.5	-5275.5	-4605.5	
@Z-3140	-5074.5	-4740.5	-5266	-4595.5	
@Z-3141	-5007.5	-4681.5	-5199.5	-4524.5	
@Beta-251907	-4886	-4728	-4932.5	-4716.5	
@Z-3869	-4913.5	-4634.5	-5055.5	-4494	
@Beta-230029	-4864.5	-4638	-4973	-4525.5	
@Beta-251912	-4793.5	-4620.5	-4841.5	-4553	
@Beta-251908	-4782.5	-4614.5	-4828	-4547.5	
@Z-3143	-4853.5	-4534.5	-5015.5	-4389	
@Z-3870	-4835.5	-4550.5	-4979.5	-4414	
@Beta-251913	-4715	-4554.5	-4786.5	-4535	
@Z-2753	-4817.5	-4467	-5010	-4305	
@Beta-230031	-4742	-4512	-4858.5	-4401	
@Beta-230033	-4729.5	-4498	-4842	-4382.5	
@Z-3867	-4765.5	-4374	-4983	-4206	
@Beta-230032	-4623	-4394	-4745	-4284.5	
@Z-2752	-4692.5	-4367.5	-4859	-4221.5	
@Z-3142	-4575	-4237.5	-4749.5	-4084	
@Z-3866	-4473.5	-4100	-4731	-3976.5	
@Z-2827	-4370	-4109.5	-4502.5	-3997.5	
@Z-2754	-4370	-4097	-4531	-3980.5	
@Z-2911	-4330	-4095	-4456.5	-3986.5	
@Beta-230030	-4285.5	-4081	-4395.5	-3985	
@Z-2909	-4295	-4061	-4420	-3944	
@SOP2	-5942.5	-4228	-6041.5	-4061.5	
@B_End SOP2	-4154	-3941.5	-4235.5	-3809	
