Variable	From_68.3	To_68.3	From_95.4	To_95.4	Type	Variable_type	Parameter	mean	sigma	median	YearType
Z-2754	6279	5999	6435	5769	Unmodelled	R_Date	Date	6131	139	6133	calBP
Z-2911	6264	5998	6287	5930	Unmodelled	R_Date	Date	6110	102	6111	calBP
Beta-230030	6178	5999	6257	5940	Unmodelled	R_Date	Date	6085	70	6082	calBP
Z-2909	6179	5902	6272	5745	Unmodelled	R_Date	Date	6004	132	5999	calBP
SOP2	NA	NA	NA	NA	Unmodelled	Calculate	Date	NA	NA	NA	calBP
B_End SOP2	NA	NA	NA	NA	Unmodelled	Boundary	Date	NA	NA	NA	calBP
B_Start SOP2	8062	7935	8171	7878	Modelled	Boundary	Date	8012	77	7999	calBP
Beta-251909	7974	7864	8012	7838	Modelled	R_Date	Date	7920	48	7930	calBP
Beta-251911	7971	7862	8011	7799	Modelled	R_Date	Date	7913	48	7918	calBP
Beta-251910	7967	7859	8007	7795	Modelled	R_Date	Date	7906	48	7901	calBP
Z-2826	7411	7108	7539	6927	Modelled	R_Date	Date	7246	153	7251	calBP
Z-3868	7377	7004	7537	6805	Modelled	R_Date	Date	7182	183	7187	calBP
Z-3139	7039	6704	7225	6555	Modelled	R_Date	Date	6880	166	6875	calBP
Z-3140	7024	6690	7216	6545	Modelled	R_Date	Date	6869	166	6864	calBP
Z-3141	6957	6631	7149	6474	Modelled	R_Date	Date	6804	165	6801	calBP
Beta-251907	6836	6678	6882	6666	Modelled	R_Date	Date	6765	56	6764	calBP
Z-3869	6863	6584	7005	6444	Modelled	R_Date	Date	6725	139	6725	calBP
Beta-230029	6814	6588	6923	6475	Modelled	R_Date	Date	6699	111	6701	calBP
Beta-251912	6743	6570	6791	6503	Modelled	R_Date	Date	6672	66	6677	calBP
Beta-251908	6732	6564	6778	6497	Modelled	R_Date	Date	6645	68	6650	calBP
Z-3143	6803	6484	6965	6339	Modelled	R_Date	Date	6649	158	6647	calBP
Z-3870	6785	6500	6929	6364	Modelled	R_Date	Date	6644	141	6644	calBP
Beta-251913	6665	6504	6736	6485	Modelled	R_Date	Date	6597	65	6598	calBP
Z-2753	6767	6417	6960	6255	Modelled	R_Date	Date	6601	175	6596	calBP
Beta-230031	6692	6462	6808	6351	Modelled	R_Date	Date	6578	113	6577	calBP
Beta-230033	6679	6448	6792	6332	Modelled	R_Date	Date	6560	115	6560	calBP
Z-3867	6715	6324	6933	6156	Modelled	R_Date	Date	6537	194	6530	calBP
Beta-230032	6573	6344	6695	6234	Modelled	R_Date	Date	6462	114	6461	calBP
Z-2752	6642	6317	6809	6171	Modelled	R_Date	Date	6486	160	6482	calBP
Z-3142	6525	6187	6699	6034	Modelled	R_Date	Date	6363	166	6359	calBP
Z-3866	6423	6050	6681	5926	Modelled	R_Date	Date	6275	191	6256	calBP
Z-2827	6320	6059	6452	5947	Modelled	R_Date	Date	6195	126	6191	calBP
Z-2754	6320	6047	6481	5930	Modelled	R_Date	Date	6196	138	6189	calBP
Z-2911	6280	6045	6406	5936	Modelled	R_Date	Date	6167	117	6164	calBP
Beta-230030	6235	6031	6345	5935	Modelled	R_Date	Date	6138	101	6136	calBP
Z-2909	6245	6011	6370	5894	Modelled	R_Date	Date	6127	118	6127	calBP
SOP2	7892	6178	7991	6011	Modelled	Calculate	Date	6994	592	6997	calBP
B_End SOP2	6104	5891	6185	5759	Modelled	Boundary	Date	5976	111	5987	calBP
