Variable	From_68.3	To_68.3	From_95.4	To_95.4	Type	Variable_type	Parameter	mean	sigma	median	YearType
B_Start SOP2	NA	NA	NA	NA	Unmodelled	Boundary	Date	NA	NA	NA	calBP
Beta-251909	8005	7870	8019	7842	Unmodelled	R_Date	Date	7937	51	7945	calBP
Beta-251911	8003	7866	8018	7836	Unmodelled	R_Date	Date	7927	51	7936	calBP
Beta-251910	7974	7861	8014	7799	Unmodelled	R_Date	Date	7918	51	7927	calBP
Z-2826	7419	7161	7429	6994	Unmodelled	R_Date	Date	7245	116	7256	calBP
Z-3868	7415	7010	7472	6855	Unmodelled	R_Date	Date	7181	154	7193	calBP
Z-3139	6993	6738	7159	6658	Unmodelled	R_Date	Date	6881	134	6872	calBP
Z-3140	6987	6734	7158	6647	Unmodelled	R_Date	Date	6868	133	6860	calBP
Z-3141	6932	6668	7154	6503	Unmodelled	R_Date	Date	6804	131	6799	calBP
Beta-251907	6837	6677	6882	6666	Unmodelled	R_Date	Date	6765	56	6764	calBP
Z-3869	6840	6637	6932	6499	Unmodelled	R_Date	Date	6723	96	6722	calBP
Beta-230029	6743	6658	6794	6564	Unmodelled	R_Date	Date	6700	49	6701	calBP
Beta-251912	6743	6570	6791	6503	Unmodelled	R_Date	Date	6672	67	6677	calBP
Beta-251908	6734	6564	6778	6497	Unmodelled	R_Date	Date	6645	68	6650	calBP
Z-3143	6775	6499	6890	6405	Unmodelled	R_Date	Date	6649	123	6648	calBP
Z-3870	6743	6504	6849	6444	Unmodelled	R_Date	Date	6645	100	6647	calBP
Beta-251913	6665	6503	6737	6485	Unmodelled	R_Date	Date	6597	65	6598	calBP
Z-2753	6734	6448	6884	6310	Unmodelled	R_Date	Date	6600	144	6594	calBP
Beta-230031	6639	6502	6671	6453	Unmodelled	R_Date	Date	6577	55	6580	calBP
Beta-230033	6625	6497	6660	6450	Unmodelled	R_Date	Date	6559	56	6558	calBP
Z-3867	6666	6317	6897	6201	Unmodelled	R_Date	Date	6533	171	6525	calBP
Beta-230032	6494	6402	6604	6319	Unmodelled	R_Date	Date	6462	55	6459	calBP
Z-2752	6606	6314	6744	6215	Unmodelled	R_Date	Date	6483	128	6476	calBP
Z-3142	6492	6200	6645	6003	Unmodelled	R_Date	Date	6346	150	6350	calBP
Z-3866	6394	5946	6639	5747	Unmodelled	R_Date	Date	6192	216	6192	calBP
Z-2827	6283	6007	6390	5929	Unmodelled	R_Date	Date	6148	112	6152	calBP
