Variable	A
Beta-251909	98.6
Beta-251911	99.9
Beta-251910	101.1
Z-2826	100.1
Z-3868	100
Z-3139	100
Z-3140	100
Z-3141	99.9
Beta-251907	99.6
Z-3869	99.9
Beta-230029	99.9
Beta-251912	100
Beta-251908	99.9
Z-3143	100
Z-3870	100.1
Beta-251913	100
Z-2753	100
Beta-230031	100
Beta-230033	99.9
Z-3867	100.5
Beta-230032	99.8
Z-2752	100.3
Z-3142	102.4
Z-3866	105.2
Z-2827	102.7
Z-2754	103.4
Z-2911	101.5
Beta-230030	100.5
Z-2909	100
A_overall	102.8
A_model	103.1
